10,伤感帝下签,签文出自红楼的《葬花吟》，分开、离别、花木凋零、甚至于某一次的梦中醒来，都能让你一个人伤感许久。黄昏、阴天、秋季、大自然的一切元素，似乎都浸透在某种不可挽回的悲伤里。可怜的孩子啊，你怜落花，谁来怜你？送你一计：远离老庄哲学
11,单身狗上上签,终于等到你了，尊敬的单身狗同志！谁也不会忘记你们对中国计划生育做出的贡献，谁也不会忘记你们看到情侣狗时那嫉妒而迷人的眼神！真的猛士敢于面对单身的人生，这是怎样的哀痛者和绝望者？然而你们终究谁也没绝望，继续不化妆不打扮，继续散发出浓浓的屌丝气质，生活的强者就应该这般，走自己的路，让别人开挖掘机去。送你一计：每每不坚定的时候，请在内心大声呼喊：单身狗万岁！
12,吐槽帝上签,吐槽能力分为三个层次，第一层为一般吐槽，用些表示惊诧，震惊的词句在关键的时候吐出，引来阵阵认同；第二层为进阶吐槽，善用各种比喻拟人顶真夸张排比等各种修辞，让吐槽行为变得更加艺术，让周围的小伙伴纷纷侧目；第三层为超能吐槽，吐槽到了此种阶段，往往只需用几个字，几句简短的句子便将被吐槽对象秒得渣都不剩，旁人细细思索你的吐槽后，才不禁恍然大悟，吐槽能力堪比神人，到了此阶段的吐槽帝，请注意控制吐槽能量，以免毁灭地球。送你一计：请自觉遵守网络秩序，以免被管理员禁言。
13,文青帝中签,啊，文青，你就是那天边的月亮，照亮了世人迷茫的道路，啊，文青，你就是那大河里的一叶孤舟，人类追随着你的屁股前行，啊，文青，你还是那绿叶上的一颗露珠，滋润了我这满身的鸡皮疙瘩……送你一计：不要总跟别人讲道理，有观点放在心里就好
14,自恋帝中签,如果自恋能养活一个人，我想你能养活全世界。清晨你照了下镜子，镜子竟然羞愧得自动崩碎了，走在路上你抚摸了一下发端，整个城市的交通都因此而瘫痪了，你生气地大喊着，这么完美是我的错么？没人回答你，因为整个宇宙都因为无法承载你的气质，自动缩进了黑洞里。送你一计：家中各个角落都要摆放镜子，方便每时每刻可以欣赏到自己的仪容。
15,愤青帝下签,公知与愤青只有一步之遥。你代表很多人发出声音，我代表很多人为奋斗在一线的愤青斗士点赞！送你一计：禁止家暴！
16,分析帝上签,咦，钱包丢了？早上八点出门吃早餐，然后挤公交，走路，九点上班，用钱付了早餐费，钱包应该在八点半到九点之间挤公交的时候丢的，当时站在右边的是一个身材肥硕的女子，行止不便，不可能是扒手，后面是一中年男人，有很大可疑，等等，那男人一直在用左手接电话，用右手夹着公文包，没有其他能力，排除嫌疑，那么就只剩下左后方一普通的上班青年，没错，他上车后目光就闪闪烁烁，有所图谋……等等，我分析出来了有个毛用。送你一计：夏天的时候多洗头，防止脑袋过热短路
17,渣神下下签,自私自利也有境界之分，人不为己，天诛地灭。渣神的渣并非贬义词，毕竟豆腐渣也还颇有滋味呢。渣神引领的是另一种生活方式，千百年来的固有的人伦观念，是时候颠覆颠覆了。一切新社会秩序的形成，不都是在颠覆的基础之上么？送你一计：买一台照相机，用照片记录自己节操丢失的过程。
18,冷场帝下签,自带独特的冷场领域，夏天陪逛利器，等同于一个可移动空调。聚会时嫌气氛太热烈，可轻启玉口，吐出几个寒气逼人的单词， 可瞬间让室内安静下来。这世界真的太浮躁了，拯救这个肮脏世界的任务就交给你了。送你一计：通过磕冷笑话书，增加冷场属性，升级冷场技能。
19,四有帝上上签,有思想有道德有文化有纪律，对社会而言，还有什么比四有帝更完美？四有帝的字典中没有“龌蹉”一词，他们甚至不知道什么是罪恶，什么是违纪。上学时，按时交作业，两天洗一次红领巾，每天要扶十个老奶奶过马路，每年要植一百棵树，上班时，从不闯红灯，捐款最积极，一身家当全部给了路边的乞丐，虽然后来知道对方是职乞。送你一计：入夜时，多去偏僻的，漆黑的巷子里走动，那里是实现你正义的地方。
